Hole,1,2,3,4,5,6,7,8,9,Out,10,11,12,13,14,15,16,17,18,In,Round,player_id
R2,4,4,4,3,5,3,3,5,5,36,3,4,4,4,5,4,2,4,4,34,70,1414375
R3,4,4,4,3,4,3,4,5,4,35,3,5,4,4,5,4,3,3,5,36,71,1414375
R4,5,4,3,2,5,3,2,5,4,33,4,4,4,4,4,4,4,4,4,36,69,1414375
R1,4,4,4,3,5,5,3,5,5,38,3,6,5,5,5,4,3,4,4,39,77,1419565
R2,4,4,5,3,5,4,3,6,5,39,3,3,4,4,4,5,3,4,5,35,74,1419565
R3,4,3,4,5,4,2,3,4,5,34,3,4,4,4,5,4,3,3,5,35,69,1419565
R4,4,4,5,4,5,4,3,5,4,38,3,3,4,4,4,4,3,4,3,32,70,1419565
R1,5,4,5,3,6,4,4,4,4,39,3,4,4,3,5,4,3,3,4,33,72,1429164
R2,5,4,4,3,6,4,2,4,4,36,3,4,4,4,4,4,3,3,4,33,69,1429164
R3,4,3,4,3,5,3,3,5,4,34,3,4,4,4,5,4,3,3,4,34,68,1429164
R4,4,4,3,3,5,5,2,5,5,36,3,4,4,4,5,4,3,3,4,34,70,1429164
R1,3,4,4,3,4,3,3,5,3,32,2,4,4,4,5,4,3,4,4,34,66,1429174
R2,3,3,4,3,5,4,3,5,4,34,3,3,5,4,5,3,3,4,4,34,68,1429174
R3,3,5,3,4,5,4,3,5,4,36,3,4,4,3,5,4,3,4,5,35,71,1429174
R4,4,4,5,3,6,4,3,5,4,38,2,4,4,4,5,4,3,4,4,34,72,1429174
R1,3,4,4,3,6,4,3,5,6,38,2,3,3,4,5,4,4,4,4,33,71,1429304
R2,5,4,5,3,5,3,3,5,4,37,3,4,4,3,4,4,3,4,5,34,71,1429304
R3,4,4,4,3,5,4,3,4,4,35,3,4,4,4,6,5,3,4,5,38,73,1429304
R4,4,4,4,2,5,5,3,4,4,35,2,4,4,3,4,5,3,3,4,32,67,1429304
R1,4,4,4,3,5,4,3,5,4,36,2,5,5,4,5,5,3,4,3,36,72,1444022
R2,5,4,4,4,6,2,3,5,3,36,4,4,5,3,5,4,3,4,5,37,73,1444022
R3,3,4,4,3,4,2,3,4,4,31,3,4,4,4,5,3,3,4,4,34,65,1444022
R4,5,4,4,3,4,4,3,5,5,37,3,5,4,4,5,4,3,4,4,36,73,1444022
